Date,VIX,AAA,BBB,VIX_lag,AAA_lag,BBB_lag
2022-01-04,2.827905153886959,0.7701082216960737,0.9969486348916096,2.8094027183426014,0.7654678421395714,0.9932517730102834
2022-01-05,2.982140296833121,0.7793248768009977,1.007957920399979,2.827905153886959,0.7701082216960737,0.9969486348916096
2022-01-06,2.9760396713327606,0.7975071958841882,1.0188473201992472,2.982140296833121,0.7793248768009977,1.007957920399979
2022-01-07,2.9317269557786028,0.8064758658669485,1.0296194171811581,2.9760396713327606,0.7975071958841882,1.0188473201992472
2022-01-10,2.9652730464058945,0.8197798314933114,1.0367368849500223,2.9317269557786028,0.8064758658669485,1.0296194171811581
2022-01-11,2.912893986956671,0.8064758658669485,1.0296194171811581,2.9652730464058945,0.8197798314933114,1.0367368849500223
2022-01-12,2.8690346681376235,0.8020015854720274,1.0260415958332743,2.912893986956671,0.8064758658669485,1.0296194171811581
2022-01-13,3.0111133492969895,0.8020015854720274,1.0260415958332743,2.8690346681376235,0.8020015854720274,1.0260415958332743
2022-01-14,2.954389337849604,0.8285518175661483,1.0473189942805592,3.0111133492969895,0.8020015854720274,1.0260415958332743
2022-01-18,3.12632188342992,0.8671004876833833,1.0818051703517284,2.954389337849604,0.8285518175661483,1.0473189942805592
2022-01-19,3.171784233328888,0.8544153281560676,1.0715836162801904,3.12632188342992,0.8671004876833833,1.0818051703517284
2022-01-20,3.2422016561344913,0.8586616190375187,1.075002423028976,3.171784233328888,0.8544153281560676,1.0715836162801904
2022-01-21,3.3621100061766294,0.8415671856782185,1.0612565021243408,3.2422016561344913,0.8586616190375187,1.075002423028976
2022-01-24,3.397858467638456,0.85015092936961,1.0681530811834012,3.3621100061766294,0.8415671856782185,1.0612565021243408
2022-01-25,3.439135216105632,0.8628899551470398,1.0818051703517284,3.397858467638456,0.85015092936961,1.0681530811834012
2022-01-26,3.4644850922520365,0.8796267475025636,1.095273387402595,3.439135216105632,0.8628899551470398,1.0818051703517284
2022-01-27,3.4173987534933796,0.883767540168595,1.1019400787607843,3.4644850922520365,0.8796267475025636,1.095273387402595
2022-01-28,3.319987320720058,0.8919980393051105,1.1052568313867783,3.4173987534933796,0.883767540168595,1.1019400787607843
2022-01-31,3.2120525964474234,0.8919980393051105,1.1151415906193203,3.319987320720058,0.8919980393051105,1.1052568313867783
2022-02-01,3.0892225749506483,0.8878912573524571,1.1151415906193203,3.2120525964474234,0.8919980393051105,1.1151415906193203
2022-02-02,3.095125024339581,0.8712933659434193,1.1019400787607843,3.0892225749506483,0.8878912573524571,1.1151415906193203
2022-02-03,3.1925318651947063,0.9001613499442714,1.1216775615991057,3.095125024339581,0.8712933659434193,1.1019400787607843
2022-02-04,3.1450139466984486,0.9400072584914712,1.1568811967920856,3.1925318651947063,0.9001613499442714,1.1216775615991057
2022-02-07,3.129388685066208,0.9321640810304452,1.1568811967920856,3.1450139466984486,0.9400072584914712,1.1568811967920856
2022-02-08,3.065258361112005,0.9400072584914712,1.1631508098056809,3.129388685066208,0.9321640810304452,1.1568811967920856
2022-02-09,2.9937302250152134,0.9360933591703348,1.1600209167967532,3.065258361112005,0.9400072584914712,1.1631508098056809
2022-02-10,3.174296775088473,0.9783261227936078,1.1969481893889715,2.9937302250152134,0.9360933591703348,1.1600209167967532
2022-02-11,3.3090821150625205,0.9555114450274363,1.1878434223960523,3.174296775088473,0.9783261227936078,1.1969481893889715
2022-02-14,3.343921311149381,0.9820784724121582,1.205970806988609,3.3090821150625205,0.9555114450274363,1.1878434223960523
2022-02-15,3.2464910215875338,0.9932517730102834,1.2149127443642704,3.343921311149381,0.9820784724121582,1.205970806988609
2022-02-16,3.1900647807056135,1.000631880307906,1.2178757094949273,3.2464910215875338,0.9932517730102834,1.2149127443642704
2022-02-17,3.3361254066314094,0.9858167945227654,1.2119409739751128,3.1900647807056135,1.000631880307906,1.2178757094949273
2022-02-18,3.3232358401924436,0.9783261227936078,1.2119409739751128,3.3361254066314094,0.9858167945227654,1.2119409739751128
2022-02-22,3.3607225305592063,0.9932517730102834,1.2267122912954254,3.3232358401924436,0.9783261227936078,1.2119409739751128
2022-02-23,3.434632172505442,1.000631880307906,1.235471471385307,3.3607225305592063,0.9932517730102834,1.2267122912954254
2022-02-24,3.4118075507090064,1.0116009116784799,1.2556160374777743,3.434632172505442,1.000631880307906,1.235471471385307
2022-02-25,3.3174533937597452,1.0152306797290584,1.252762968495368,3.4118075507090064,1.0116009116784799,1.2556160374777743
2022-02-28,3.406184910520799,0.959350221334602,1.2325602611778486,3.3174533937597452,1.0152306797290584,1.252762968495368
2022-03-01,3.506157808139705,0.9202827531436925,1.208960345836975,3.406184910520799,0.959350221334602,1.2325602611778486
2022-03-02,3.425564730664717,0.9820784724121582,1.2556160374777743,3.506157808139705,0.9202827531436925,1.208960345836975
2022-03-03,3.417070715799952,0.9745596399981308,1.252762968495368,3.425564730664717,0.9820784724121582,1.2556160374777743
2022-03-04,3.4651106930917472,0.959350221334602,1.2412685890696329,3.417070715799952,0.9745596399981308,1.252762968495368
2022-03-07,3.5959414793857905,0.9858167945227654,1.2669476034873244,3.4651106930917472,0.959350221334602,1.2412685890696329
2022-03-08,3.5590554966823817,1.0331844833456545,1.3110318766193438,3.5959414793857905,0.9858167945227654,1.2669476034873244
2022-03-09,3.47970046666133,1.0402767116551463,1.3217558399823195,3.5590554966823817,1.0331844833456545,1.3110318766193438
2022-03-10,3.4088347936486714,1.0715836162801904,1.3428648031925547,3.47970046666133,1.0402767116551463,1.3217558399823195
2022-03-11,3.4258899942525267,1.0681530811834012,1.3480731482996928,3.4088347936486714,1.0715836162801904,1.3428648031925547
